Designator,Mid X,Mid Y,Rotation,Layer
C19,202.85,-119.79,180.0,top
C20,202.85,-117.29,0.0,top
C21,116.0,-91.0,270.0,top
C22,115.25,-124.25,90.0,top
C31,115.25,-77.8,270.0,top
D1,203.23,-107.75,0.0,top
G1,110.9,-103.44,270.0,top
J4,121.46,-132.0,0.0,top
R1,203.5,-111.0,0.0,top
S3,203.0,-125.25,90.0,top
S4,122.2,-75.74,270.0,top
U7,122.35,-125.6875,0.0,top
U8,122.0,-92.5,0.0,top
